trader_id,handle,display_name,profile_url,evm_wallet,blockscout_url,chain,chain_id,followers,fills,buys,sells,volume_usd,realized_pnl_usd,unrealized_pnl_usd,net_pnl_usd,closed_trades,wins,win_rate,best_trade_usd,worst_trade_usd,open_bags,last_activity_unix,solana_wallet,solana_mapping_status
Colby,Colby,Colby,https://fomo.family/profile/Colby,0x8347ca89c40b139e8e9b38d82d7b799a3db68605,https://robinhoodchain.blockscout.com/address/0x8347ca89c40b139e8e9b38d82d7b799a3db68605,robinhood,4663,21826,0,0,0,0,0,0,0,0,0,,,,0,,,pending
0xVantaa,0xVantaa,Vanta,https://fomo.family/profile/0xVantaa,0x69326e48f68500fb6cf3b3a7da640737b9cc347b,https://robinhoodchain.blockscout.com/address/0x69326e48f68500fb6cf3b3a7da640737b9cc347b,robinhood,4663,21792,220,110,110,440966.1869268034,-41447.40044063316,-22031.59126080743,-63478.99170144059,63,29,0.4603174603174603,3896.8304450000005,-9982.556502,21,1788881846,,pending
WaterySimpleBobolink,WaterySimpleBobolink,ipsoFomo,https://fomo.family/profile/WaterySimpleBobolink,0x8966f1f3a016dab72087e4bd4ddde0b5f4b275a4,https://robinhoodchain.blockscout.com/address/0x8966f1f3a016dab72087e4bd4ddde0b5f4b275a4,robinhood,4663,21531,0,0,0,0,0,0,0,0,0,,,,0,,,pending
MoneyLord,MoneyLord,MoneyLord,https://fomo.family/profile/MoneyLord,0xfb2f8e284ed4149358775409f163cb917a62f51e,https://robinhoodchain.blockscout.com/address/0xfb2f8e284ed4149358775409f163cb917a62f51e,robinhood,4663,21040,22,19,3,170296.333112,-47381.760804978156,-18413.56312722085,-65795.32393219901,7,2,0.2857142857142857,4648.818366782814,-50302.239203000005,2,1788769839,,pending
needledger,needledger,needledger,https://fomo.family/profile/needledger,0x7eeba9a791a793b21f188079e9b5d466d3d129ac,https://robinhoodchain.blockscout.com/address/0x7eeba9a791a793b21f188079e9b5d466d3d129ac,robinhood,4663,21014,0,0,0,0,0,0,0,0,0,,,,0,,,pending
CardinalSaint2,CardinalSaint2,Cardinal Saint,https://fomo.family/profile/CardinalSaint2,0xb7749bd1a4b632f54b054a15a8066fd227fc938e,https://robinhoodchain.blockscout.com/address/0xb7749bd1a4b632f54b054a15a8066fd227fc938e,robinhood,4663,20599,204,109,95,1336227.8637876664,-48264.95597176792,3180.8099249239604,-45084.14604684396,18,6,0.3333333333333333,2391.013835856742,-5290.699562,13,1788887055,,pending
Bull_Path,Bull_Path,Bull.Path 🫵😹,https://fomo.family/profile/Bull_Path,0xe31abb7b23904c48a2efca4c3006da1a98723c7f,https://robinhoodchain.blockscout.com/address/0xe31abb7b23904c48a2efca4c3006da1a98723c7f,robinhood,4663,20329,66,26,40,129505.00580083315,-7.412159999999858,-13098.567132960765,-13105.979292960765,1,0,0,-7.412159999999858,-7.412159999999858,2,1788792359,,pending
CJWAT5ON,CJWAT5ON,CJ Watson,https://fomo.family/profile/CJWAT5ON,0xc0f2d453e98aa30064ba8f766a146978419987f3,https://robinhoodchain.blockscout.com/address/0xc0f2d453e98aa30064ba8f766a146978419987f3,robinhood,4663,20301,110,28,82,100636.80968846988,-3960.5183929383725,-13426.47319595098,-17386.991588889352,4,0,0,-82.04647135649837,-845.4653799263784,4,1788877035,,pending
ejgtrades,ejgtrades,EJG Trades,https://fomo.family/profile/ejgtrades,0xa926bf1245951ee24c097e362182ff6f04567163,https://robinhoodchain.blockscout.com/address/0xa926bf1245951ee24c097e362182ff6f04567163,robinhood,4663,19985,9,2,7,4260.245139,0,-581.1030391726138,-581.1030391726138,0,0,,,,2,1788632907,,pending
downhorrndously,downhorrndously,downhorrendously,https://fomo.family/profile/downhorrndously,0x92a4b51c5728bd57d09dacb8343f9bce093c3343,https://robinhoodchain.blockscout.com/address/0x92a4b51c5728bd57d09dacb8343f9bce093c3343,robinhood,4663,19761,425,187,238,191474.8486051303,-7383.150572594697,-306.01509567954787,-7689.165668274245,136,55,0.40441176470588236,3098.8275389098044,-1960.154549102799,1,1788859952,,pending
paik_michael,paik_michael,supreme leader,https://fomo.family/profile/paik_michael,0x17243251a4a2db9b58aa5dcffd54471216d212ce,https://robinhoodchain.blockscout.com/address/0x17243251a4a2db9b58aa5dcffd54471216d212ce,robinhood,4663,19242,1,1,0,514.865345,0,-206.01362672170848,-206.01362672170848,0,0,,,,1,1788056596,,pending
notwashed,notwashed,washed,https://fomo.family/profile/notwashed,0xf0918f55b347226930d051467f6369d4a818a398,https://robinhoodchain.blockscout.com/address/0xf0918f55b347226930d051467f6369d4a818a398,robinhood,4663,19063,0,0,0,0,0,0,0,0,0,,,,0,,,pending
cryptokillua99,cryptokillua99,Killua,https://fomo.family/profile/cryptokillua99,0x3f6c9c7df12ae7497b2327b549d90f189217652c,https://robinhoodchain.blockscout.com/address/0x3f6c9c7df12ae7497b2327b549d90f189217652c,robinhood,4663,18749,11,7,4,16352.752978999999,-1375.8409550000001,-2838.3059070026143,-4214.146862002614,4,1,0.25,390.0246119999997,-1480.0811079999999,1,1788636646,,pending
DNS_ERR,DNS_ERR,dns (aka ‘Trust Guy’) 🐱,https://fomo.family/profile/DNS_ERR,0xbe1eaa605d3694639988dd4fcd7cee7ab8b1d74d,https://robinhoodchain.blockscout.com/address/0xbe1eaa605d3694639988dd4fcd7cee7ab8b1d74d,robinhood,4663,18639,375,194,181,293642.30765002564,-20868.344076238474,0,-20868.344076238474,111,43,0.38738738738738737,7232.876446,-5374.797616,0,1788860195,,pending
staticc,staticc,staticc,https://fomo.family/profile/staticc,0xfc6e04d0a8748b194bcad8686f8786bec0e641e4,https://robinhoodchain.blockscout.com/address/0xfc6e04d0a8748b194bcad8686f8786bec0e641e4,robinhood,4663,18584,59,37,22,50362.27630089402,-3128.803989605079,-6946.0868214264365,-10074.890811031515,14,4,0.2857142857142857,3269.9829900000004,-2171.2083377730924,3,1788829178,,pending
picadura,picadura,picadura,https://fomo.family/profile/picadura,0xa37cd19f9a6fdcc323ba42fa498807b4212222f3,https://robinhoodchain.blockscout.com/address/0xa37cd19f9a6fdcc323ba42fa498807b4212222f3,robinhood,4663,18443,323,191,132,804097.8783440382,-96359.1914589583,321928.3836092373,225569.192150279,77,29,0.37662337662337664,15100.94477200001,-43017.87373900001,2,1788833131,,pending
vydamo_,vydamo_,vydamo,https://fomo.family/profile/vydamo_,0x3efa635740d9bdf308747fd9f1a7867073391d39,https://robinhoodchain.blockscout.com/address/0x3efa635740d9bdf308747fd9f1a7867073391d39,robinhood,4663,18336,17,9,8,30880.364305,-10769.873309999999,-6791.743624249269,-17561.61693424927,3,0,0,-455.21934,-7085.202539999999,5,1788595884,,pending
XbtPika,XbtPika,Pika XBT,https://fomo.family/profile/XbtPika,0x56612ed804fcef43f86baed0c616d3ae9a0d0bf7,https://robinhoodchain.blockscout.com/address/0x56612ed804fcef43f86baed0c616d3ae9a0d0bf7,robinhood,4663,18257,104,72,32,320357.8887320623,-21411.767540285684,183375.41009866993,161963.64255838425,9,3,0.3333333333333333,1690.0428709999996,-2791.9399010000006,4,1788850714,,pending
RugDalio,RugDalio,RugDalio✨,https://fomo.family/profile/RugDalio,0xaf3a73c19118409936bdea72fd975c7539f85359,https://robinhoodchain.blockscout.com/address/0xaf3a73c19118409936bdea72fd975c7539f85359,robinhood,4663,18200,241,140,101,462841.2525997345,-17055.127391394497,38570.9564008443,21515.8290094498,25,11,0.44,9609.505186736536,-17302.043845,16,1788881138,,pending
Eagle_0X,Eagle_0X,Eagle_0X,https://fomo.family/profile/Eagle_0X,0x97fd60ac5601faa1d3fa3cc2b556dc5dc2041a36,https://robinhoodchain.blockscout.com/address/0x97fd60ac5601faa1d3fa3cc2b556dc5dc2041a36,robinhood,4663,17342,26,22,4,55414.93307977543,-11015.189489041506,-211.81316649807036,-11227.002655539576,13,8,0.6153846153846154,368.86433199322164,-907.5982144446548,8,1788857790,,pending
0xForgivable,0xForgivable,Forgivable,https://fomo.family/profile/0xForgivable,0x0232b9afb9160fe479f25dade62fa60ef657bdc5,https://robinhoodchain.blockscout.com/address/0x0232b9afb9160fe479f25dade62fa60ef657bdc5,robinhood,4663,17284,191,116,75,776770.0677871564,-95222.30153551658,-2740.666116269474,-97962.96765178606,26,9,0.34615384615384615,41382.6682132764,-34197.51330200001,5,1788878918,,pending
dormant_cell,dormant_cell,Dormant Cell,https://fomo.family/profile/dormant_cell,0x4d388f04096295cc546b2046174a82f7652c3aff,https://robinhoodchain.blockscout.com/address/0x4d388f04096295cc546b2046174a82f7652c3aff,robinhood,4663,17122,65,31,34,20428.925123961955,-1013.4467020380442,0,-1013.4467020380442,25,5,0.2,1930.832478,-494.5096764435575,0,1788806351,,pending
Crashout,Crashout,777,https://fomo.family/profile/Crashout,0x04407d0b25455d834ea60f40aa68b2a191b4d976,https://robinhoodchain.blockscout.com/address/0x04407d0b25455d834ea60f40aa68b2a191b4d976,robinhood,4663,17112,0,0,0,0,0,0,0,0,0,,,,0,,,pending
admiralfinest,admiralfinest,admiral,https://fomo.family/profile/admiralfinest,0x1949d393f568a54ed025bd2ee8ae6b7502fa798a,https://robinhoodchain.blockscout.com/address/0x1949d393f568a54ed025bd2ee8ae6b7502fa798a,robinhood,4663,17030,100,64,36,121127.28770075085,-7539.923629727282,-742.8696016079066,-8282.793231335188,15,1,0.06666666666666667,8446.008196999996,-10082.8754,7,1788874005,,pending
dylansdegens,dylansdegens,Dylan.Eth,https://fomo.family/profile/dylansdegens,0x0d3b6fb8207bbfd6ec8c16728a7b34bc1fab3d71,https://robinhoodchain.blockscout.com/address/0x0d3b6fb8207bbfd6ec8c16728a7b34bc1fab3d71,robinhood,4663,16888,114,37,77,233456.49421368877,13623.795322501834,50860.631660496074,64484.42698299791,8,3,0.375,26514.64963167685,-10102.628658000001,4,1788823676,,pending
Cryptoaeon,Cryptoaeon,Aeon,https://fomo.family/profile/Cryptoaeon,0x9a67eda2996342cec2121456015de8021ebe2a8f,https://robinhoodchain.blockscout.com/address/0x9a67eda2996342cec2121456015de8021ebe2a8f,robinhood,4663,16763,9,8,1,28124.337995,-4246.716071000001,19702.53991148025,15455.823840480249,0,0,,,,4,1788388365,,pending
pradaazx,pradaazx,Prada,https://fomo.family/profile/pradaazx,0x8836c0ea35194367e7b3d19d3e813f9906abfaf1,https://robinhoodchain.blockscout.com/address/0x8836c0ea35194367e7b3d19d3e813f9906abfaf1,robinhood,4663,16579,64,38,26,42120.56126,-16038.763957608411,0,-16038.763957608411,11,2,0.18181818181818182,5.408827000000315,-6814.718938,1,1788611608,,pending
ArtofConviction,ArtofConviction,Conviction,https://fomo.family/profile/ArtofConviction,0xa3574fe7d01b9053387f940664751b66e27b833b,https://robinhoodchain.blockscout.com/address/0xa3574fe7d01b9053387f940664751b66e27b833b,robinhood,4663,16336,253,163,90,1693976.942957532,18802.119354664068,38246.55489927693,57048.674253941004,25,9,0.36,28121.708381169054,-7692.699799512265,9,1788886371,,pending
ineedtowin,ineedtowin,die trying,https://fomo.family/profile/ineedtowin,0xc079c868cdff8dcd0e4b1623da872933760fbe4d,https://robinhoodchain.blockscout.com/address/0xc079c868cdff8dcd0e4b1623da872933760fbe4d,robinhood,4663,16335,494,251,243,971564.5671706306,13027.933699579271,-10995.724198632526,2032.2095009467448,97,36,0.3711340206185567,19052.854956,-6385.257344999998,3,1788833802,,pending
lordarbiter,lordarbiter,lordarbiter,https://fomo.family/profile/lordarbiter,0x712b009be8006d28738fd4810ee1440e277bae03,https://robinhoodchain.blockscout.com/address/0x712b009be8006d28738fd4810ee1440e277bae03,robinhood,4663,16188,84,40,44,269709.40065872174,-21303.341266187534,66948.05316484047,45644.71189865294,18,8,0.4444444444444444,2817.118225000001,-7165.051198000002,4,1788842961,,pending
C1phervoyager,C1phervoyager,cipher,https://fomo.family/profile/C1phervoyager,0xce7263b5af8331c3baa620db93b44522d5982e35,https://robinhoodchain.blockscout.com/address/0xce7263b5af8331c3baa620db93b44522d5982e35,robinhood,4663,16118,275,87,188,354669.6480473983,87277.97919024987,2013.4592746967319,89291.43846494661,51,25,0.49019607843137253,10098.613923,-1286.841245,9,1788876700,,pending
lay2000lbs,lay2000lbs,Rachel’s_handbag_fund,https://fomo.family/profile/lay2000lbs,0x7d998c6abb2f9b80cfe29d2ac7eb2c75c3e1087f,https://robinhoodchain.blockscout.com/address/0x7d998c6abb2f9b80cfe29d2ac7eb2c75c3e1087f,robinhood,4663,16080,44,25,19,70822.16674750952,-2260.956675849159,-2405.510087952494,-4666.466763801653,17,7,0.4117647058823529,1827.6800169999992,-2133.0472949999994,3,1788887507,,pending
NDF_Sonar_trade,NDF_Sonar_trade,"NFTDefiFutures (🥅,🥅)",https://fomo.family/profile/NDF_Sonar_trade,0x47b0d370a406192d592c65beae9ec2a953366c6b,https://robinhoodchain.blockscout.com/address/0x47b0d370a406192d592c65beae9ec2a953366c6b,robinhood,4663,16079,90,44,46,322305.6464174169,-45356.56375728679,-16825.8243573753,-62182.38811466209,25,3,0.12,379.75979099999995,-11499.678090999998,18,1788870823,,pending
soby0x,soby0x,soby,https://fomo.family/profile/soby0x,0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,https://robinhoodchain.blockscout.com/address/0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,robinhood,4663,15807,50,31,19,412669.3562897993,-3890.6053310114985,178639.9390576272,174749.3337266157,13,6,0.46153846153846156,41799.529196999996,-17328.954029968358,7,1788804218,,pending
harrypauldavies,harrypauldavies,HPD,https://fomo.family/profile/harrypauldavies,0x7e37990fa2a156bc500aad32b859a65240f9dfa8,https://robinhoodchain.blockscout.com/address/0x7e37990fa2a156bc500aad32b859a65240f9dfa8,robinhood,4663,15658,221,91,130,399670.0938516319,-28478.750622772524,-0.4991145213733148,-28479.249737293896,28,9,0.32142857142857145,6790.967411944644,-6404.011607999997,4,1788766549,,pending
iruletrenches,iruletrenches,Miyamoto,https://fomo.family/profile/iruletrenches,0xddd462bb053b57d5d73c9615e11a7284cfee9233,https://robinhoodchain.blockscout.com/address/0xddd462bb053b57d5d73c9615e11a7284cfee9233,robinhood,4663,15651,255,128,127,1136851.4591503094,108504.49730040296,492399.2286703812,600903.7259707842,57,29,0.5087719298245614,24052.492050999997,-12974.692077202373,10,1788885410,,pending
MaGica_Conch,MaGica_Conch,MGC,https://fomo.family/profile/MaGica_Conch,0xfd937af9478149a08b2174885be868e9e687ab1f,https://robinhoodchain.blockscout.com/address/0xfd937af9478149a08b2174885be868e9e687ab1f,robinhood,4663,15463,35,17,18,42979.664623000004,-5992.60868,-139.20714336962413,-6131.815823369624,9,2,0.2222222222222222,2213.945637,-3439.001116,1,1788565496,,pending
dncdoteth,dncdoteth,donotchase,https://fomo.family/profile/dncdoteth,0xf1ea1675e87588c5ac42da523dd6f1e3ca4252e5,https://robinhoodchain.blockscout.com/address/0xf1ea1675e87588c5ac42da523dd6f1e3ca4252e5,robinhood,4663,15431,0,0,0,0,0,0,0,0,0,,,,0,,,pending
KienNguyen_NFT,KienNguyen_NFT,Kien Nguyen,https://fomo.family/profile/KienNguyen_NFT,0x5c04aa13f55226619913219783596e17ad370809,https://robinhoodchain.blockscout.com/address/0x5c04aa13f55226619913219783596e17ad370809,robinhood,4663,15353,28,13,15,47168.36494242581,-1894.6423072198713,-0.29168621975501274,-1894.9339934396264,10,3,0.3,2072.6152119999997,-1095.5831389999998,1,1788837851,,pending
0xsneakky,0xsneakky,Sneaky,https://fomo.family/profile/0xsneakky,0xe9132a6e4a610b796abba5fd4210911fafa55a22,https://robinhoodchain.blockscout.com/address/0xe9132a6e4a610b796abba5fd4210911fafa55a22,robinhood,4663,15293,1200,654,546,1615259.1788964642,199960.99738670458,14384.857384397354,214345.85477110193,385,152,0.3948051948051948,36982.849397000005,-17059.91766887309,5,1788887417,,pending
Clark10x,Clark10x,Clark 🆓,https://fomo.family/profile/Clark10x,0x1e24b5e9886f770e901c378a95547b0433664fa3,https://robinhoodchain.blockscout.com/address/0x1e24b5e9886f770e901c378a95547b0433664fa3,robinhood,4663,15076,287,136,151,311703.8888228018,-15778.630240501307,-15443.169317762966,-31221.799558264272,33,6,0.18181818181818182,2299.567553,-38168.43465520366,14,1788810862,,pending
Geppetto_88,Geppetto_88,Geppetto_88,https://fomo.family/profile/Geppetto_88,0xea01ee72a9ab6b5d9934aee0d01ac587aa0e4627,https://robinhoodchain.blockscout.com/address/0xea01ee72a9ab6b5d9934aee0d01ac587aa0e4627,robinhood,4663,,15,5,10,4334.507959,458.5167671809105,-93.88923772165606,364.62752945925445,3,0,0,-122.72317100000004,-257.53268981908946,2,1788837533,,pending
SimonMHans,SimonMHans,SimonMHans,https://fomo.family/profile/SimonMHans,0x0e17fc4e333958e7b259ab652f334b2f5bbdb27e,https://robinhoodchain.blockscout.com/address/0x0e17fc4e333958e7b259ab652f334b2f5bbdb27e,robinhood,4663,,174,77,97,558233.1172291249,-26812.60314726674,-89875.49600095407,-116688.0991482208,3,1,0.3333333333333333,322.67539861888235,-26662.239599000008,10,1788803685,,pending
_logjam,_logjam,_logjam,https://fomo.family/profile/_logjam,0xdfa705fa2db5044e672d597e5eddcc11a9f2815c,https://robinhoodchain.blockscout.com/address/0xdfa705fa2db5044e672d597e5eddcc11a9f2815c,robinhood,4663,,0,0,0,0,0,0,0,0,0,,,,0,,,pending
astaso1,astaso1,astaso1,https://fomo.family/profile/astaso1,0x0895ce73ebbec6acdae7095854019ea3f2f83cb7,https://robinhoodchain.blockscout.com/address/0x0895ce73ebbec6acdae7095854019ea3f2f83cb7,robinhood,4663,,0,0,0,0,0,0,0,0,0,,,,1,,,pending
runitbackghost,runitbackghost,runitbackghost,https://fomo.family/profile/runitbackghost,0x1d3c5cef04e2c50c1188b760e6a7672a740bb1b7,https://robinhoodchain.blockscout.com/address/0x1d3c5cef04e2c50c1188b760e6a7672a740bb1b7,robinhood,4663,,6,6,0,2830.232420802761,0,3725.027037001548,3725.027037001548,0,0,,,,6,1788842202,,pending
